file                                  dims              changed_px  pct
Discovery-programme__s1.png           1080x1213                  0  0.0000%
Journey__s1.png                       1080x1048                  0  0.0000%
classic-registration__s1.png          1080x900                   0  0.0000%
classic-registration__s2.png          1080x970                   0  0.0000%
classic-registration__s3.png          1080x994                   0  0.0000%
classic-registration__s4.png          1080x901                   0  0.0000%
contact-map-left-corporate__s1.png    1080x2210                  0  0.0000%
contact-map-left-minimal__s1.png      1080x976                   0  0.0000%
contact-map-right-modern__s1.png      1080x976                   0  0.0000%
down-under__s1.png                    1080x900                   0  0.0000%
event-registration-rsvp__s1.png       1080x900                   0  0.0000%
festa-italiana__s1.png                1080x1352                  0  0.0000%
megaform-pure-grid-template__s1.png   1080x1400                  0  0.0000%
member-login__s1.png                  1080x900                   0  0.0000%
outback-station-stay-booking__s1.png  1080x900                   0  0.0000%
outback-station-stay-booking__s2.png  1080x900                   0  0.0000%
outback-station-stay-booking__s3.png  1080x900                   0  0.0000%
outback-station-stay-booking__s4.png  1080x900                   0  0.0000%
project-intake-onboarding__s1.png     1080x900                   0  0.0000%
tabbed-account-setup__s1.png          1080x900                   0  0.0000%
vendor-application-fl__s1.png         1080x1185                  0  0.0000%
wellness-patient-intake__s1.png       1080x900                   0  0.0000%
wellness-patient-intake__s2.png       1080x1058                  0  0.0000%
wellness-patient-intake__s3.png       1080x1183                  0  0.0000%
wellness-patient-intake__s4.png       1080x1067                  0  0.0000%
youth-application__s1.png             1080x900                   0  0.0000%

WORST: 0.0000%  (gate: <=0.1% per template, 0 preferred)
